Resolution,Algorithm,Colors,Avg FPS,Avg Full Loop (ms),Avg C++ Math (ms)
1920x1080,Octree-Baseline,8,23.992550792829118,41.67960333333459,26.8967550000004
1920x1080,Octree-Baseline,16,23.647566133373523,42.287650000001996,27.298180000003452
1920x1080,Octree-Baseline,32,23.636613539830293,42.30724500000349,27.44787666666942
1920x1080,Octree-Baseline,64,22.081426954806652,45.286928333330444,30.495759999997556
1920x1080,Octree-Baseline,128,20.37201126042494,49.08695500000135,34.24610166666658
1920x1080,Octree-Baseline,256,19.268319603744338,51.8986616666704,37.2330700000011
1920x1080,Octree-Euclidean,8,22.12374778204559,45.20029833333865,30.203969999996616
1920x1080,Octree-Euclidean,16,20.561727196048555,48.63404666667179,33.97893999999724
1920x1080,Octree-Euclidean,32,17.734234059022988,56.388113333330615,41.254160000003516
1920x1080,Octree-Euclidean,64,13.743253980622963,72.76297166667594,57.356294999997694
1920x1080,Octree-Euclidean,128,9.84301377332994,101.5948999999921,86.38571166666414
1920x1080,Octree-Euclidean,256,6.748206141231847,148.18753000000316,133.51447833333054
1920x1080,Median-Cut,8,10.167595355055983,98.35167166666754,88.03488166667155
1920x1080,Median-Cut,16,10.033914631454243,99.66200000000072,89.06642499999673
1920x1080,Median-Cut,32,10.164975347477329,98.37702166667555,87.8426066666691
1920x1080,Median-Cut,64,10.171641189728097,98.31255166667272,87.90791333333156
1920x1080,Median-Cut,128,10.001311838735143,99.98688333334371,89.58510166665974
1920x1080,Median-Cut,256,9.801553820723727,102.0246400000038,91.36547000000708
1920x1080,Uniform,8,76.19711380568451,13.123856666673342,1.9341566666772299
1920x1080,Uniform,16,79.10522497916293,12.641390000008338,1.8311349999919457
1920x1080,Uniform,32,77.37609411408765,12.923888333333858,1.8784583333342653
1920x1080,Uniform,64,78.07752317277111,12.807783333331221,1.8768766666729182
1920x1080,Uniform,128,77.80976912032872,12.851856666655218,1.8264016666629839
1920x1080,Uniform,256,77.96667080754222,12.825993333336783,1.8483833333334587
1920x1080,K-Means,8,2.1277906373169326,469.97104999999624,459.5694600000079
1920x1080,K-Means,16,1.3675405395825952,731.2397483333276,720.9431983333347
1920x1080,K-Means,32,0.7702207131767013,1298.3291450000042,1287.882863333342
1920x1080,K-Means,64,0.40692546641184923,2457.4524883333306,2444.967309999996
1920x1080,K-Means,128,0.20999274985331629,4762.0691700000025,4751.58631166668
1920x1080,K-Means,256,0.10544455482837396,9483.657089999977,9473.032458333311
1920x1080,SOM,8,0.8563432026368802,1167.7561016666764,1153.3656600000236
1920x1080,SOM,16,0.554024474038535,1804.9744133333093,1790.3558200000205
1920x1080,SOM,32,0.779771627113909,1282.4267583333344,1267.3093100000112
1920x1080,SOM,64,0.3337807894754166,2995.9782933332995,2980.774213333355
1920x1080,SOM,128,0.1330257531969579,7517.341386666688,7502.326480000034
1920x1080,SOM,256,0.06213482517306036,16094.034178333335,16078.551836666658
1920x1080,Octree-SOM,8,1.7441847535840642,573.3337583333044,558.5545616667029
1920x1080,Octree-SOM,16,3.5064167250749727,285.1914299999862,270.3381633333265
1920x1080,Octree-SOM,32,6.308896108159597,158.5063349999776,143.16631999993965
1920x1080,Octree-SOM,64,6.748117039159487,148.18948666672136,132.55658166670705
1920x1080,Octree-SOM,128,6.8888587692645125,145.16192500006278,129.63047499999143
1920x1080,Octree-SOM,256,5.473436772775401,182.70056666662336,167.2652933334272
1920x1080,Octree-K-Means,8,12.258437278084594,81.57646666657759,66.05446166669633
1920x1080,Octree-K-Means,16,11.844631598396047,84.4264333333437,69.04105833342935
1920x1080,Octree-K-Means,32,10.879214805006189,91.9183983332914,76.16621499992107
1920x1080,Octree-K-Means,64,9.466258578356038,105.63835666674397,89.99723999997211
1920x1080,Octree-K-Means,128,7.685499423671916,130.11516166664782,114.45566999999149
1920x1080,Octree-K-Means,256,4.933628147217514,202.6905899999747,186.9820416666395
1920x1080,Shader-Acerola,8,51.75694558797917,19.321078333344605,3.07938166661188
1920x1080,Shader-Acerola,16,50.84652687724643,19.667026666623617,3.1257199999496756
1920x1080,Shader-Acerola,32,51.77116489365128,19.31577166660645,2.877574999896145
1920x1080,Shader-Acerola,64,51.550882525502885,19.39830999993622,2.9518999999709195
1920x1080,Shader-Acerola,128,51.218330425891565,19.52425999998013,2.8556316666405714
1920x1080,Shader-Acerola,256,51.44310337027337,19.438951666703968,3.0156049999883785
